# This script will generate a ranked white list 
# text of android third party libraries according 
# to the 3rdpartylibs.csv. Libraries information
# in the csv file are obtained from 
# https://github.com/codepath/android_guides/wiki/Must-Have-libraries.
# The rank are based on a score, where,
#    score = 0.15*watch + 0.5*star + 0.35*fork
# For github project, the watch, star and fork 
# are directly obtained. For non-github project, 
# the watch, star and fork are assigned via experience.
#  
# last-modified: 2018/06/14
pkg,project,watch,star,watch
jp.wasabeef.picasso.transformations,PicassoTranformations,47,1400,202
com.videffects,VidEffects,13,186,60
jp.wasabeef.glide.transformations,GlideTransformations,170,6293,996
com.inagata.imageeffects,ImageEffectFilter,7,123,37
com.google.zxing.client.android,zxing,1588,18881,7506
com.journeyapps.barcodescanner,ZxingAndroidEmbeded,170,2767,748
me.dm7.barcodescanner.zbar,BarCodeScanner,194,3969,1078
eu.livotov.labs.android.camview,CamView,10,156,39
com.activeandroid,ActiveAndroid,262,4575,1102
org.greenrobot.greendao,greenDAO,551,10113,2628
com.raizlabs.android.dbflow,DBFlow,192,4254,574
io.rx_cache2,RxCache,52,1933,153
com.orm,SugarORM,126,2535,606
com.github.gfx.android.orma,AndroidOrma,37,427,44
com.squareup.sqlbrite3,sqlbrite,245,4634,434
com.pushtorefresh.storio3,storio,108,2624,175
com.j256.ormlite,ORMLite,85,1351,354
io.realm,realm,407,9626,1514
com.github.dkharrat.nexusdata,NexusData,6,70,19
com.orhanobut.hawk,hawk,93,2858,291
nl.elastique.poetry,poetry,8,76,9
cn.ieclipse.aorm,AndroidORM,2,26,9
io.requery,requery,97,2503,206
net.simonvt.schematic,schematic,51,1276,132
net.droidlabs.mvvm.recyclerview,AndroidDataBindingRecyclerView,27,546,103
net.droidlabs.binding.command,AndroidDataBindingCommand,5,28,5
org.holoeverywhere,HoloEverywhere,175,2246,690
eu.janmuller.android.simplecropimage,CropImage,58,555,316
com.github.ksoichiro.android.observablescrollview,AndroidObservableScrollView,419,8849,2074
ru.noties.scrollable,Scrollable,44,1086,227
com.android.volley,Volley,125,1663,430
spork,Spork,6,78,8
auto_parcel,AutoParcel,59,1372,88
hugo,Hugo,231,6067,595
com.orhanobut.logger,Logger,347,9320,1565
uk.co.chrisjenx.calligraphy,Calligraphy,234,7767,975
io.github.inflationx.calligraphy3,Calligraphy3,234,7767,975
com.vstechlab.easyfonts,EasyFonts,15,375,81
com.mikepenz.aboutlibraries,AboutLibraries,80,2092,271
github.nisrulz.easydeviceinfo,EasyDeviceInfo,40,1379,164
com.github.nisrulz.sensey,sensey,70,2272,222
com.hardikgoswami.oauthLibGithub,GithubOAuth,3,39,13
timber,Timber,225,5758,584
ihsanbal.com.logginginterceptor,LoggingInterceptor,21,816,51
io.github.privacystreams,PrivacyStreams,13,249,35
com.akaita.android.easylauncher,EasyLauncher,16,575,21
com.master.permissionhelper,PermissionHelper,2,29,7
com.birbit.android.jobqueue,PriorityJobQueue,152,3113,341
com.koushikdutta.ion,Ion,361,5739,1008
com.androidnetworking,AndroidNetworking,191,3396,573
com.rxandroidnetworking,RxAndroidNetworking,191,3396,573
com.jacksonandroidnetworking,JacksonAndroidNetworking,191,3396,573
com.rx2androidnetworking,Rx2AndroidNetworking,191,3396,573
com.handmark.pulltorefresh,AndroidPullToRefresh,1033,8690,5125
com.afollestad.materialdialogs,MaterialDialogs,575,13524,2456
com.viewpagerindicator,ViewPagerIndicator,705,9801,4304
com.actionbarsherlock,ActionBarSherlock,793,7307,3932
org.openintents,OpenIntents,47,208,168
com.getbase.floatingactionbutton,AndroidFloatingActionButton,262,5512,1453
com.nispok.snackbar,snackbar,62,1553,263
de.cketti.library.changelog,ckChangeLog,20,170,36
com.nineoldandroids,NineOldAndroids,999,999,999
com.helpshift,HelpShiftAndroidSdk,111,111,111
com.crashlytcics,FirebaseCrashLytcics,111,111,111
org.omg,JavaDocExtensions,0,0,0
org.w3c,JavaDocExtensions,0,0,0
org.xml,JavaDocExtensions,0,0,0
org.apache,JavaDocExtensions,0,0,0
com.sun,JavaDocExtensions,0,0,0
org.eclipse,JavaDocExtensions,0,0,0
